Date,FPI_Equity_Flow,FPI_Debt_Flow,FPI_Total_Flow,FPI_Equity_Flow_3M,FPI_Debt_Flow_3M,FPI_Equity_Flow_12M,FPI_Debt_Flow_12M
2010-06-09,1331.62,-118.23,1213.39,6624.389999999999,371.82,,
2010-06-10,3.82,-560.87,-557.05,6720.75,-294.76,,
2010-06-11,250.77,64.25,315.02,7209.98,-733.25,,
2010-06-14,82.64,-24.72,57.92,6886.780000000001,-989.6500000000001,,
2010-06-15,-484.34,-451.87,-936.21,5786.9400000000005,-1644.1,,
2010-06-16,671.41,171.26,842.68,5892.71,-1393.75,,
2010-06-17,475.97,264.76,740.73,6688.29,-733.7700000000001,,
2010-06-18,495.52,118.11,613.63,7238.42,-603.12,,
2010-06-21,-354.69,-47.22,-401.91,6618.1,-1062.32,,
2010-06-22,801.4,227.43,1028.83,6831.73,-426.74000000000007,,
2010-06-23,-600.93,254.07,-346.86,6370.39,93.8599999999999,,
2010-06-24,393.43,142.22,535.65,6756.650000000001,148.1999999999999,,
2010-06-25,1195.23,-197.38,997.84,8405.05,196.2199999999999,,
2010-06-28,-395.27,132.98,-262.29,8507.880000000001,516.9599999999999,,
2010-06-29,-183.15,408.64,225.5,7818.47,1002.68,,
2010-06-30,149.83,-128.99,20.84,7190.18,1233.3799999999999,,
2010-07-01,-151.74,679.38,527.64,6974.450000000001,2155.0,,
2010-07-02,-675.33,-107.69,-783.02,5697.35,1786.28,,
2010-07-05,134.28,59.72,194.0,5550.81,2188.2099999999996,,
2010-07-06,-431.15,-151.75,-582.9,5342.220000000001,2465.8199999999997,,
2010-07-07,336.8,116.98,453.78,5398.32,2721.81,,
2010-07-08,-359.71,-472.67,-832.38,4169.59,1979.55,,
2010-07-09,874.97,-113.81,761.15,4962.47,1874.8199999999997,,
2010-07-12,-291.63,-277.64,-569.26,3788.5200000000004,1686.55,,
2010-07-13,-61.03,90.6,29.57,4937.360000000001,1713.84,,
2010-07-14,506.76,348.33,855.09,4933.17,2535.8799999999997,,
2010-07-15,-515.43,243.8,-271.63,4274.22,2581.27,,
2010-07-16,213.73,-661.5,-447.77,4537.45,1754.7399999999998,,
2010-07-19,753.57,662.62,1416.19,5145.14,2490.15,,
2010-07-20,-703.74,138.58,-565.16,5335.18,2276.95,,
2010-07-21,192.32,-182.95,9.37,5537.34,2382.25,,
2010-07-22,229.94,97.14,327.08,5488.72,2091.02,,
2010-07-23,490.91,102.86,593.77,5140.68,2097.53,,
2010-07-26,-518.48,-150.05,-668.53,4781.34,1998.4499999999998,,
2010-07-27,-560.23,109.38,-450.85,4525.36,2063.79,,
2010-07-28,360.97,-132.24,228.73,5037.21,1913.7299999999998,,
2010-07-29,248.49,-71.31,177.18,4728.0,1426.34,,
2010-07-30,225.25,-155.88,69.36,4688.87,1543.46,,
2010-08-02,273.22,-379.8,-106.58,5126.97,1342.42,,
2010-08-03,-240.01,93.75,-146.26,4530.33,1075.28,,
2010-08-04,216.13,225.59,441.72,4597.92,1429.53,,
2010-08-05,246.54,204.47,451.0,4260.14,1313.84,,
2010-08-06,-257.18,295.98,38.8,4253.99,1049.99,,
2010-08-09,1032.89,147.3,1180.19,5350.71,1267.83,,
2010-08-10,336.92,-109.82,227.1,5783.68,903.5999999999999,,
2010-08-11,-495.65,301.9,-193.75,5919.79,1501.6100000000001,,
2010-08-12,428.28,-357.26,71.02,6100.01,867.9300000000001,,
2010-08-13,-387.34,-220.2,-607.54,5482.14,537.9,,
2010-08-16,493.54,-239.26,254.28,5873.120000000001,106.72999999999996,,
2010-08-17,679.3,374.02,1053.31,6569.710000000001,624.42,,
2010-08-18,-310.34,332.84,22.5,6867.06,1405.59,,
2010-08-19,581.69,196.19,777.88,7559.07,1400.8,,
2010-08-20,306.39,371.58,677.97,7936.820000000001,2341.4,,
2010-08-23,511.03,-213.78,297.25,8748.990000000002,2172.83,,
2010-08-24,1048.4,154.58,1202.98,9778.03,1995.06,,
2010-08-25,-22.69,12.45,-10.25,9453.31,1899.9399999999998,,
2010-08-26,-276.87,304.06,27.2,8133.350000000001,1569.5,,
2010-08-27,-344.76,15.43,-329.32,7601.3,1227.3999999999999,,
2010-08-30,-307.91,-65.48,-373.39,7064.610000000001,1308.09,,
2010-08-31,61.45,212.27,273.72,7063.28,1462.1699999999998,,
2010-09-01,270.58,312.85,583.43,8193.25,1739.23,,
2010-09-02,238.35,-150.5,87.84,8344.86,2013.38,,
2010-09-03,513.59,31.68,545.27,8728.33,2277.18,,
2010-09-06,106.5,-267.53,-161.03,7503.210000000001,2127.88,,
2010-09-07,826.77,-699.42,127.35,8326.16,1989.33,,
2010-09-08,-32.33,110.14,77.81,8043.06,2035.22,,
2010-09-09,1460.08,232.67,1692.76,9420.5,2292.61,,
2010-09-10,412.83,128.62,541.45,10317.67,2873.1,,
2010-09-13,-328.58,-534.87,-863.45,9317.68,2166.9700000000003,,
2010-09-14,-435.45,-55.25,-490.7,8406.26,1846.9599999999998,,
2010-09-15,341.24,-615.5,-274.27,8251.980000000001,1113.35,,
2010-09-16,-11.73,460.91,449.18,8594.939999999999,1621.48,,
2010-09-17,457.0,-275.82,181.18,8250.539999999999,1118.23,,
2010-09-20,336.62,426.62,763.24,9188.09,1290.78,,
2010-09-21,63.59,333.76,397.35,8858.25,1482.32,,
2010-09-22,-323.4,-220.18,-543.57,7339.62,1459.52,,
2010-09-23,-657.42,-289.84,-947.26,7077.469999999999,1036.7,,
2010-09-24,-123.26,155.11,31.85,7137.360000000001,783.17,,
2010-09-27,528.2,-203.3,324.9,7515.7300000000005,708.8600000000001,,
2010-09-28,207.05,80.75,287.79,7874.52,110.22999999999996,,
2010-09-29,-522.87,-94.85,-617.72,8026.9800000000005,123.06999999999996,,
2010-09-30,186.59,-484.35,-297.76,8079.290000000001,-421.00000000000006,,
2010-10-01,292.66,-619.14,-326.48,8803.1,-888.3900000000001,,
2010-10-04,-341.93,118.01,-223.92,8124.370000000001,-887.36,,
2010-10-05,176.86,-118.47,58.4,8660.94,-533.16,,
2010-10-06,129.1,-115.93,13.18,7915.070000000001,-535.28,,
2010-10-07,-471.49,258.76,-212.73,7735.210000000001,1.1200000000000045,,
2010-10-08,278.89,402.03,680.93,8075.13,312.54999999999995,,
2010-10-11,380.39,-31.76,348.63,7948.76,-67.54000000000003,,
2010-10-12,641.53,-52.18,589.35,9105.720000000001,-363.52000000000004,,
2010-10-13,626.9,200.04,826.94,9518.890000000001,498.02,,
2010-10-14,-588.83,-357.08,-945.92,8176.49,-521.6800000000001,,
2010-10-15,-368.91,116.95,-251.97,8511.320000000002,-543.3100000000001,,
2010-10-18,357.52,215.57,573.08,8676.519999999999,-144.79000000000002,,
2010-10-19,356.89,254.07,610.96,8803.470000000001,12.13999999999993,,
2010-10-20,357.52,-531.03,-173.5,8670.08,-621.75,,
2010-10-21,2026.37,-178.41,1847.96,11214.93,-650.11,,
2010-10-22,385.45,-213.48,171.97,12160.61,-972.97,,
2010-10-25,667.78,79.97,747.75,12467.42,-760.76,,
2010-10-26,577.0,194.22,771.22,12795.93,-495.23,,
2010-10-27,425.7,499.01,924.71,12996.380000000001,159.66000000000003,,
2010-10-28,-57.63,-98.49,-156.12,12665.529999999999,440.97,,
2010-10-29,479.48,-99.27,380.21,13385.02,247.95000000000005,,
2010-11-01,-286.41,394.9,108.49,12882.480000000001,417.26,,
2010-11-02,-18.41,138.97,120.56,12617.529999999999,351.76,,
2010-11-03,-142.68,430.3,287.61,12732.03,486.08,,
2010-11-04,140.94,136.62,277.56,11840.08,475.4,,
2010-11-05,1257.33,-297.13,960.19,12760.49,288.09000000000003,,
2010-11-08,-833.63,-349.94,-1183.57,12422.51,-363.75,,
2010-11-09,443.13,-415.45,27.68,12437.359999999999,-421.94,,
2010-11-10,-706.36,248.62,-457.74,12118.34,46.879999999999995,,
2010-11-11,-135.97,406.58,270.61,11488.83,692.72,,
2010-11-12,644.48,604.81,1249.28,11454.01,923.51,,
2010-11-15,132.14,302.93,435.07,11896.49,893.6000000000001,,
2010-11-16,-438.87,398.85,-40.02,10875.929999999998,1096.26,,
2010-11-17,-257.65,-124.0,-381.66,10311.89,600.6800000000001,,
2010-11-18,439.8,-296.92,142.87,10240.66,517.5400000000001,,
2010-11-19,-265.18,305.02,39.84,8927.08,667.98,,
2010-11-22,208.23,175.3,383.53,9158.0,830.8299999999999,,
2010-11-23,122.79,82.23,205.02,9557.66,609.0,,
2010-11-24,-225.8,166.21,-59.59,9676.619999999999,759.7800000000001,,
2010-11-25,1171.97,146.96,1318.93,11156.499999999998,972.22,,
2010-11-26,416.96,435.15,852.1,11512.01,1195.1,,
2010-11-29,-912.57,438.5,-474.08,10328.86,1320.75,,
2010-11-30,193.23,213.27,406.49,10283.74,1684.52,,
2010-12-01,-230.89,303.74,72.85,9539.26,1956.58,,
2010-12-02,526.22,204.22,730.44,9958.98,2428.33,,
2010-12-03,-296.26,-88.35,-384.61,8835.949999999999,3039.4,,
2010-12-06,42.63,276.97,319.6,8910.91,3206.23,,
2010-12-07,352.49,-368.35,-15.85,7803.32,2605.21,,
2010-12-08,532.88,366.17,899.05,7923.37,2842.7599999999998,,
2010-12-09,-500.15,-308.36,-808.51,7751.799999999999,3069.2700000000004,,
2010-12-10,-67.25,135.74,68.49,8120.0,3260.26,,
2010-12-13,-137.47,-203.55,-341.02,7641.29,3672.21,,
2010-12-14,-226.66,216.02,-10.65,7426.36,3427.32,,
2010-12-15,982.73,39.82,1022.55,7952.089999999999,3742.96,,
2010-12-16,302.49,-428.43,-125.94,7917.96,2887.9100000000003,,
2010-12-17,-530.44,176.21,-354.23,7323.929999999999,2730.36,,
2010-12-20,558.93,-123.38,435.55,8206.26,2827.16,24725.670000000002,6896.04
2010-12-21,1161.08,314.34,1475.42,10024.76,3431.34,25538.39,6729.85
2010-12-22,616.23,50.4,666.63,10764.25,3326.63,26123.75,6834.4400000000005
2010-12-23,-659.68,168.63,-491.06,9576.369999999999,3698.56,25040.23,6517.09
2010-12-24,-142.12,-237.27,-379.39,9227.2,3380.54,24036.600000000002,6253.29
2010-12-27,733.46,-126.8,606.66,10483.529999999999,3348.59,24787.14,6629.06
2010-12-28,-253.83,-87.59,-341.43,10043.109999999999,3745.35,24550.38,6223.85
2010-12-29,321.91,307.01,628.92,10072.359999999999,4671.5,23982.68,6657.83
2010-12-30,487.32,553.21,1040.53,10901.609999999999,5106.7,23986.280000000002,6951.43
2010-12-31,-363.47,-191.55,-555.02,10361.279999999999,5033.62,23757.55,6702.32
2011-01-03,70.24,373.05,443.29,10302.419999999998,5522.6,23456.510000000002,7488.31
2011-01-04,-1520.63,-600.9,-2121.54,9253.28,4662.94,22067.59,6788.120000000001
2011-01-05,-412.19,-308.26,-720.45,8562.199999999999,3952.65,21788.260000000002,5770.990000000001
2011-01-06,-26.28,-237.63,-263.92,8155.53,3746.7799999999997,21541.0,5335.46
2011-01-07,-523.89,-355.75,-879.64,6990.11,3443.21,21873.75,4946.97
2011-01-10,916.21,-425.08,491.13,7279.419999999999,2818.09,23552.42,4149.290000000001
2011-01-11,-615.07,173.9,-441.17,7253.18,3349.07,23118.489999999998,4209.990000000001
2011-01-12,-120.02,-14.22,-134.24,7502.07,3217.9,23404.89,4082.91
2011-01-13,165.37,163.82,329.19,7309.919999999999,3166.15,23313.140000000003,4524.22
2011-01-14,820.64,257.14,1077.78,7773.67,3169.2200000000003,24487.79,4661.21
2011-01-17,-617.93,129.69,-488.25,6798.219999999999,3829.9399999999996,24476.010000000002,4430.27
2011-01-18,681.58,247.33,928.91,5453.43,4255.68,24324.769999999997,4878.420000000001
2011-01-19,105.12,29.14,134.26,5173.1,4498.299999999999,24442.780000000002,4430.21
2011-01-20,-390.75,-306.1,-696.85,4114.57,4112.2300000000005,23918.27,4101.620000000001
2011-01-21,331.05,367.34,698.4,3868.62,4285.35,24861.69,4685.29
2011-01-24,199.53,-126.73,72.8,3642.45,3659.6099999999997,25233.41,4209.27
2011-01-25,-200.11,-230.68,-430.79,3499.97,3527.42,24877.84,4014.63
2011-01-26,134.9,-3.38,131.53,3155.3899999999994,3623.31,25488.24,3733.4000000000005
2011-01-27,-92.66,-223.84,-316.5,3349.14,3004.57,25107.73,3547.09
2011-01-28,156.76,-75.23,81.53,3524.31,2790.3700000000003,25464.809999999998,3439.8100000000004
2011-01-31,431.07,153.22,584.28,4098.0599999999995,2513.29,25941.730000000003,3394.96
2011-02-01,893.01,154.5,1047.51,4850.13,2531.17,27035.59,3412.1900000000005
2011-02-02,-518.91,-219.35,-738.26,3073.8900000000003,2608.9500000000003,25490.54,3741.5
2011-02-03,1166.52,-96.31,1070.21,5074.04,2862.58,26563.81,3931.56
2011-02-04,-876.04,372.3,-503.74,3754.87,3650.33,26116.63,3975.0400000000004
2011-02-07,24.11,198.92,223.03,4485.34,3600.63,25629.47,4163.6
2011-02-08,394.16,672.52,1066.68,5015.469999999999,3866.5699999999997,26534.05,4943.24
2011-02-09,240.5,404.04,644.53,4611.49,3665.8,26570.12,5704.849999999999
2011-02-10,-211.35,393.29,181.94,4268.0,3756.16,27238.61,6372.0599999999995
2011-02-11,-4.06,-366.36,-370.42,4702.8099999999995,2990.95,27798.64,6562.240000000001
2011-02-14,-146.5,279.16,132.66,4813.96,3394.11,27453.71,6821.78
2011-02-15,-194.68,34.07,-160.61,4179.48,3725.1000000000004,26789.8,6985.380000000001
2011-02-16,524.8,-115.29,409.51,4969.46,3304.79,27128.92,7110.07
2011-02-17,278.51,100.4,378.91,5039.74,3229.89,27365.25,7180.910000000001
2011-02-18,-246.45,333.56,87.11,4670.5,3481.22,27169.350000000002,7355.28
2011-02-21,549.8,200.25,750.05,5446.1,3515.2599999999998,28358.41,6877.57
2011-02-22,253.65,-213.54,40.11,4527.78,3154.7599999999998,28871.980000000003,7067.599999999999
2011-02-23,506.43,272.74,779.17,4617.25,2992.35,29508.730000000003,6942.530000000001
2011-02-24,414.81,-141.28,273.54,5944.63,2412.57,29294.98,6459.32
2011-02-25,-314.5,115.0,-199.49,5436.9,2314.2999999999997,28708.67,6758.05
2011-02-28,-180.09,-41.01,-221.1,5487.7,1969.55,29310.1,6606.070000000001
2011-03-01,473.65,-15.66,457.99,5435.13,1749.67,29521.71,6677.7
2011-03-02,405.19,279.87,685.06,6136.58,2117.89,30019.44,6851.860000000001
2011-03-03,89.55,-262.06,-172.51,6183.5,1578.8600000000001,30347.449999999997,6087.06
2011-03-04,158.66,633.56,792.22,5989.67,2580.77,30100.27,6488.9400000000005
2011-03-07,738.83,-496.33,242.51,6195.62,1718.27,30223.600000000002,5790.03
2011-03-08,-195.79,-129.3,-325.09,6499.98,1897.33,29462.17,5739.820000000001
2011-03-09,373.55,161.06,534.61,6940.78,1922.65,30155.329999999998,6296.1
2011-03-10,-1.1,225.29,224.2,7077.15,2351.49,30208.84,6533.93
2011-03-11,-8.84,19.86,11.02,7294.97,2155.33,29934.37,6141.81
2011-03-14,649.39,32.78,682.17,6961.63,2148.29,29995.989999999998,6582.740000000001
2011-03-15,512.71,173.17,685.87,7171.849999999999,2749.89,30648.289999999997,7022.4400000000005
2011-03-16,506.75,-19.32,487.43,8209.04,2554.3599999999997,31147.87,6915.24
2011-03-17,752.74,467.95,1220.69,8402.85,3145.69,32353.78,7628.59
2011-03-18,110.5,301.8,412.31,7352.2699999999995,3133.1499999999996,32962.38,8118.15
2011-03-21,440.98,311.85,752.82,7177.02,3394.6,32897.1,8507.08
2011-03-22,-55.13,-239.85,-294.98,7781.57,2986.12,32063.85,8626.92
2011-03-23,262.08,26.18,288.27,8185.77,3249.57,32261.940000000002,8895.34
2011-03-24,34.93,-40.14,-5.21,7487.24,3336.23,31695.100000000002,8594.17
2011-03-25,148.5,-251.68,-103.18,7889.570000000001,3172.14,31562.780000000002,8684.7
2011-03-28,397.58,158.05,555.63,7965.24,3023.1800000000003,32182.92,9272.109999999999
2011-03-29,-309.11,-111.29,-420.4,7168.8099999999995,2358.6800000000003,31593.109999999997,9299.83
2011-03-30,1146.19,246.62,1392.81,8678.470000000001,2796.85,31870.280000000002,9276.859999999999
2011-03-31,-403.01,-271.06,-674.07,8205.220000000001,2152.7400000000002,31385.18,9014.88
2011-04-01,-507.09,565.71,58.62,9218.76,3319.35,29995.77,9669.960000000001
2011-04-04,679.06,-218.9,460.16,10310.01,3408.71,31884.7,9387.75
2011-04-05,495.83,115.79,611.62,10832.12,3762.13,31869.58,9977.25
2011-04-06,412.06,287.56,699.62,11768.07,4405.4400000000005,32138.12,10066.4
2011-04-07,414.17,-121.19,292.98,11266.029999999999,4709.33,32601.79,9780.179999999998
2011-04-08,93.88,305.74,399.62,11974.980000000001,4841.169999999999,32549.789999999997,10158.710000000001
2011-04-11,-348.63,-318.76,-667.38,11746.369999999999,4536.63,33094.94,9488.17
2011-04-12,137.9,485.64,623.54,11718.9,4858.45,33242.68,10262.06
2011-04-13,-238.58,54.24,-184.34,10659.679999999998,4655.549999999999,32725.54,9927.93
2011-04-14,587.56,-128.92,458.64,11865.17,4396.9400000000005,32474.149999999998,9702.66
2011-04-15,26.47,-39.75,-13.28,11210.06,4109.860000000001,32659.76,9713.88
2011-04-18,-312.75,292.68,-20.07,10792.19,4373.4,32651.260000000002,9962.52
2011-04-19,-60.69,-125.34,-186.03,11122.25,4554.16,32741.45,9819.36
2011-04-20,306.47,-174.81,131.66,11097.67,4012.01,32490.219999999998,9228.470000000001
2011-04-21,-181.86,-16.46,-198.32,10716.28,4122.28,32043.98,9485.01
2011-04-22,-311.11,-303.09,-614.2,10605.279999999999,4049.87,31897.75,9360.68
2011-04-25,221.84,596.16,818.01,10692.22,4649.41,31762.960000000003,9595.95
2011-04-26,222.48,-119.92,102.56,11007.36,4753.33,31836.9,9604.69
2011-04-27,-153.47,299.49,146.01,10697.13,5128.05,31099.11,9584.02
2011-04-28,-135.52,112.84,-22.68,10130.539999999999,5087.669999999999,31214.62,9137.03
2011-04-29,216.02,-245.36,-29.34,9453.55,4687.81,31494.469999999998,8962.210000000001
2011-05-02,-624.04,48.21,-575.83,9348.42,4955.37,30966.48,8756.01
2011-05-03,-603.73,285.2,-318.53,7578.17,5336.88,30994.51,9337.32
2011-05-04,-259.22,-6.48,-265.7,8194.990000000002,4958.1,30487.23,9054.42
2011-05-05,-6.72,407.93,401.21,8164.16,5167.11,30249.98,9352.52
2011-05-06,255.45,356.45,611.91,8025.45,4851.040000000001,30402.870000000003,9517.06
2011-05-09,837.68,325.67,1163.35,8622.630000000001,4772.67,31257.84,9986.4
2011-05-10,528.83,-87.9,440.93,9362.810000000001,4291.48,32394.36,10346.83
2011-05-11,20.03,-273.95,-253.92,9386.9,4383.89,32524.710000000003,9871.9
2011-05-12,90.49,-134.08,-43.58,9623.89,3970.6500000000005,32686.56,10306.84
2011-05-13,-401.26,108.87,-292.39,9417.310000000001,4045.45,32586.44,10460.92
2011-05-16,90.74,213.74,304.48,8983.25,4374.48,32657.82,10342.31
2011-05-17,-44.33,-601.47,-645.8,8660.410000000002,3672.61,32311.460000000003,9633.27
2011-05-18,261.36,47.57,308.93,9168.22,3386.62,31529.730000000003,9046.34
2011-05-19,-313.62,97.43,-216.19,8304.800000000001,3283.8,31028.82,8786.240000000002
2011-05-20,359.67,-33.26,326.41,8410.82,3464.08,31159.710000000003,8899.15
2011-05-23,866.37,437.38,1303.75,8770.76,3628.72,31963.3,9278.34
2011-05-24,45.62,176.53,222.15,8401.57,3946.53,32868.310000000005,9419.08
2011-05-25,300.86,443.06,743.91,9016.93,4274.59,33082.43,10286.789999999999
2011-05-26,445.07,-14.79,430.28,9642.09,4300.81,33397.380000000005,10504.12
2011-05-27,-100.61,331.24,230.63,9067.83,4647.71,31965.149999999998,10953.59
2011-05-30,212.05,540.52,752.57,8874.69,4908.360000000001,32173.38,12054.98
2011-05-31,106.3,443.51,549.8,8891.44,5613.929999999999,32028.91,12434.24
2011-06-01,148.84,-277.64,-128.8,8881.619999999999,4702.7300000000005,32095.11,12181.32
2011-06-02,-286.5,-26.1,-312.61,7856.29,5172.96,32292.95,12607.09
2011-06-03,112.26,-53.55,58.71,8164.34,5248.71,31733.8,12382.28
2011-06-06,349.0,196.78,545.78,8139.79,5284.43,31606.829999999998,12314.3
2011-06-07,825.57,255.91,1081.48,8966.460000000001,5315.05,31936.879999999997,12452.099999999999
2011-06-08,579.64,-201.67,377.97,9554.94,5093.52,32871.21,12297.650000000001
2011-06-09,1176.59,70.35,1246.94,10082.14,5131.089999999999,33246.4,12140.57
2011-06-10,-283.67,-555.98,-839.65,9285.76,4401.9400000000005,33563.659999999996,11330.52
2011-06-13,536.16,482.58,1018.74,9315.17,4903.84,33706.39,11670.88
2011-06-14,191.67,-103.71,87.96,8754.1,4332.18,32702.829999999998,11764.550000000001
2011-06-15,1194.9,66.76,1261.66,9838.5,4097.14,34293.0,11698.329999999998
